title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
web前端,6k-8k,大连  ,1-3年,本科,纬创软件,计算机软件,已上市,1000-9999人,刘女士,招聘经理
WEB前端（angular2/4）,10k-20k,北京 海淀区 西二旗,3-5年,大专,联想利泰,移动互联网,已上市,1000-9999人,熊女士,招聘顾问
web前端,8k-10k,南京 鼓楼区 新街口,3-5年,本科,ARSMO,医疗健康,已上市,1000-9999人,李先生,部门总监
web前端,20k-40k,杭州 西湖区 古荡,3-5年,本科,蚂蚁金服,互联网,C轮,10000人以上,吴先生,招聘者
高级前端工程师,20k-35k,深圳 南山区 深圳湾,3-5年,本科,OPPO,互联网,不需要融资,10000人以上,梁先生,架构师&amp;后端技术专家
前端工程师,12k-20k,北京 朝阳区 大望路,3-5年,本科,泛生子,医疗健康,C轮,500-999人,杨女士,招聘经理
前端,5k-10k,南宁  ,1-3年,本科,中国东信,互联网,不需要融资,500-999人,肖先生,研发经理
前端,15k-19k,北京 海淀区 西北旺,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,王女士,招聘
web前端,20k-30k,北京 海淀区 西北旺,3-5年,本科,百度,互联网,已上市,10000人以上,赵先生,高级前端工程师
前端,10k-16k,南京  ,3-5年,大专,柯莱特集团,计算机软件,已上市,1000-9999人,王先生,HR
前端工程师,12k-18k,苏州 吴中区 独墅湖,3-5年,本科,步点传媒,移动互联网,不需要融资,100-499人,杨先生,CEO
web前端,30k-50k,上海 普陀区 长征,3-5年,本科,饿了么,O2O,不需要融资,10000人以上,王先生,前端工程师
前端开发工程师,25k-50k,北京 海淀区 清河,经验不限,本科,小米,互联网,已上市,10000人以上,赵女士,HR
前端/中级/高级,20k-30k,北京 朝阳区 十里堡,3-5年,本科,VIPKID,移动互联网,D轮及以上,10000人以上,秦先生,前端
前端讲师,20k-40k,北京 昌平区 沙河,5-10年,大专,千锋互联,在线教育,不需要融资,1000-9999人,吴女士,招聘者
前端开发,7k-10k,武汉 江夏区 流芳,1-3年,本科,软通动力集团,移动互联网,不需要融资,10000人以上,何女士,招聘主管
前端架构师,18k-28k,长沙 岳麓区 麓谷,5-10年,大专,兴盛优选,互联网金融,C轮,1000-9999人,梁先生,管理者
前端工程师,8k-16k,武汉 江夏区 光谷东,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,王女士,招聘顾问
前端工程师,20k-40k,北京 海淀区 清河,3-5年,本科,小米,互联网,已上市,10000人以上,李女士,HR
前端/运维,8k-12k,北京 海淀区 人民大学,1-3年,本科,中科软科技,互联网金融,不需要融资,10000人以上,董女士,开发工程师
web前端,15k-30k,杭州 西湖区 古荡,1-3年,本科,蚂蚁金服,互联网,C轮,10000人以上,杨先生,前端
前端组长,20k-40k,北京 朝阳区 酒仙桥,5-10年,学历不限,跨越新科技,互联网,未融资,10000人以上,何女士,招聘
前端工程师,15k-25k,北京 海淀区 万柳,5-10年,本科,奥琦玮,计算机软件,C轮,1000-9999人,柳女士,hr助理
前端开发,8k-13k,广州 天河区 员村,1年以内,本科,易宝软件,互联网,已上市,1000-9999人,王女士,招聘
前端工程师,10k-20k,上海 长宁区 北新泾,3-5年,本科,怪兽充电,互联网,B轮,1000-9999人,翟先生,资深总监
WEB前端,8k-13k,长沙 芙蓉区 窑岭,1-3年,大专,HiShop,互联网,不需要融资,100-499人,王女士,人事主管
前端,20k-25k,上海 长宁区 北新泾,3-5年,本科,携程旅行网,互联网,已上市,10000人以上,陈女士,HR
资深前端,15k-30k,北京 海淀区 双榆树,5-10年,本科,神州租车,生活服务,已上市,1000-9999人,王先生,开发经理
前端,8k-16k,重庆  ,1-3年,本科,正大华日,计算机软件,未融资,100-499人,薛女士,行政人事部长
前端开发,10k-15k,广州 海珠区 赤岗,3-5年,本科,Locals路客,互联网,B轮,500-999人,陈女士,招聘主管
前端,10k-15k,北京 顺义区 后沙峪,1-3年,本科,金泰亚盛,计算机软件,D轮及以上,100-499人,张女士,招聘专员
前端,13k-16k,北京 海淀区 牡丹园,3-5年,大专,北京柯莱特,计算机软件,已上市,1000-9999人,李女士,hr
前端,13k-21k,上海 浦东新区 世纪公园,3-5年,大专,兴融联科技,企业服务,不需要融资,100-499人,徐女士,招聘专员
web前端,30k-60k,杭州 滨江区 长河,5-10年,本科,华为,计算机软件,不需要融资,10000人以上,龙先生,数据中台总架构师
前端工程师,10k-15k,杭州  ,3-5年,本科,小凡教育,在线教育,A轮,500-999人,章先生,招聘者
前端工程师,5k-10k,北京 海淀区 上地,1-3年,本科,伊特互联,互联网,不需要融资,20-99人,王先生,运营
