title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
嵌入式软件工程师,6k-10k,潍坊  ,1-3年,大专,歌尔,智能硬件,已上市,10000人以上,张先生,招聘经理
嵌入式,22k-23k,北京 海淀区 西二旗,经验不限,硕士,北京配天,智能硬件,不需要融资,100-499人,郑先生,招聘专员
嵌入式讲师,8k-13k,重庆 九龙坡区 渝州路,经验不限,本科,华清远见,培训机构,不需要融资,500-999人,余女士,人事主管
嵌入式软件工程师,7k-12k,东莞  ,1-3年,本科,深圳软通动力,互联网,未融资,10000人以上,潘女士,招聘顾问
嵌入式软件工程师,6k-10k·13薪,深圳 南山区 科技园,1-3年,本科,得力集团,贸易/进出口,不需要融资,1000-9999人,李女士,人事行政
嵌入式,14k-24k,南京 鼓楼区 中央门,1-3年,硕士,南瑞信通,计算机软件,不需要融资,500-999人,刘先生,招聘者
嵌入式,6k-12k,广州 天河区 猎德,1-3年,本科,沐健联源,机械设备/机电/重工,未融资,20-99人,李女士,Office manager
嵌入式工程师,11k-18k,广州 黄埔区 科学城,3-5年,大专,乐源,智能硬件,未融资,500-999人,张女士,HR
嵌入式助教,4k-5k,济南 历下区 齐鲁软件园,经验不限,大专,华清远见,培训机构,不需要融资,500-999人,关女士,招聘者
嵌入式,8k-15k,合肥  ,1-3年,本科,暖流信息科技,互联网,A轮,20-99人,谢女士,人事主管
嵌入式,2k-3k,常州  ,1年以内,大专,上海同安,智能硬件,暂无信息,20-99人,李先生,总经理
嵌入式软件开发,12k-24k,北京 朝阳区 望京,经验不限,本科,探境科技,智能硬件,B轮,100-499人,李女士,HR
嵌入式,15k-30k,上海 浦东新区 张江,3-5年,博士,上海铌锣智能科技...,智能硬件,天使轮,0-20人,王先生,招聘者
嵌入式工程师,12k-24k,南京 秦淮区 苜蓿园,经验不限,硕士,中电28所,移动互联网,不需要融资,1000-9999人,焦先生,人力资源处
嵌入式软件工程师,6k-12k,福州  ,经验不限,本科,新大陆支付技术,智能硬件,已上市,1000-9999人,吴女士,HR
嵌入式工程师,11k-18k,广州  ,3-5年,大专,乐源,智能硬件,未融资,500-999人,闫女士,招聘专员
嵌入式C开发,8k-16k,东莞  ,经验不限,本科,软通动力,计算机软件,已上市,10000人以上,辛先生,人事专员
嵌入式软件工程师,12k-22k,深圳 南山区 科技园,经验不限,本科,TP-LINK,通信/网络设备,不需要融资,1000-9999人,马女士,招聘专员
嵌入式,15k-25k,深圳 宝安区 新安,3-5年,本科,Sugr米唐科技,智能硬件,A轮,20-99人,祝女士,HRM
嵌入式,10k-15k,深圳 南山区 西丽,经验不限,本科,酷牛创新,智能硬件,不需要融资,0-20人,蒋先生,招聘者
嵌入式软件工程师,18k-30k,西安  ,5-10年,本科,华为,计算机软件,不需要融资,10000人以上,孟先生,招聘HR
嵌入式开发工程师（成都）,7k-9k,成都 武侯区 桐梓林,3-5年,学历不限,东信北邮,移动互联网,未融资,1000-9999人,钟女士,行政人事主管（成都）
