title , salary ,city,position, working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name 
产品专员,4-8K,武汉,经验不限,大专,美乐帝美语教育,在线教育,未融资,1000-9999人,秦女士,人事经理
产品经理,10-14K,西安,3-5年,本科,卫宁健康,医疗健康,已上市,1000-9999人,李女士,招聘专员
产品主管,11-15K,北京,3-5年,本科,北京雍禾医疗集团,医疗健康,不需要融资,1000-9999人,王先生,高级产品经理
产品经理,15-30K,深圳,3-5年,本科,OPPO,互联网,不需要融资,10000人以上,张先生,产品
产品专员,3-6K,青岛,应届生,本科,青岛中瑞集团,互联网,不需要融资,1000-9999人,周先生,产品经理
产品经理,5-10K,昆明,1年以内,大专,宜信普惠,咨询,已上市,10000人以上,许先生,高级主管
产品专员,4-6K,武汉,1年以内,初中及以下,樱花国际日语,在线教育,未融资,1000-9999人,岳先生,市场主管
产品专家,18-25K·15薪,厦门,3-5年,本科,阿里巴巴集团,互联网,不需要融资,10000人以上,陈女士,人事专家
数据产品经理,10-20K,南京,5-10年,大专,苏宁,计算机软件,已上市,10000人以上,莫先生,经理
产品经理,12-24K,宁波,经验不限,本科,奥克斯空调,互联网,已上市,10000人以上,李女士,招聘经理
产品经理,10-20K,南京,3-5年,本科,苏宁易购,电子商务,已上市,10000人以上,祁先生,招聘者
产品专员,3-6K,上饶,1年以内,大专,上饶市贝壳房地产经纪有限公司,电子商务,天使轮,1000-9999人,徐女士,招聘HR
产品专员,4-5K,昆明,1年以内,大专,德雕装饰集团,工程施工,未融资,500-999人,王女士,行政主管
产品经理,15-30K,北京,1年以内,本科,北京联拓天际,移动互联网,A轮,500-999人,冯先生,CEO
产品经理,35-60K,南京,3-5年,本科,vivo,移动互联网,不需要融资,10000人以上,王先生,产品经理
产品经理,15-30K,杭州,3-5年,本科,嘉云数据,移动互联网,C轮,500-999人,王女士,招聘专员
产品经理,13-20K,北京,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,吴女士,招聘者
产品专家,30-60K,杭州,5-10年,本科,曹操专车,互联网,B轮,1000-9999人,邹女士,人事
产品经理,15-25K,杭州,1-3年,本科,紫光华智,计算机软件,未融资,1000-9999人,周先生,招聘者
产品经理,18-30K,南京,5-10年,本科,苏宁易购,电子商务,已上市,10000人以上,汤先生,招聘者
NB-产品经理,7-10K,宁波,3-5年,大专,宁波凯耀电器,贸易/进出口,不需要融资,1000-9999人,孙女士,招聘者
产品总监,40-70K,北京,10年以上,本科,千里马网,互联网,A轮,500-999人,王先生,创始人
产品专员,7-10K,杭州,1-3年,本科,泰普森,贸易/进出口,不需要融资,1000-9999人,谢女士,招聘主管
产品助理,6-8K,郑州,1年以内,大专,中恩国际,在线教育,不需要融资,500-999人,刘女士,经理
产品专家,30-60K,杭州,5-10年,本科,博世猫,社交网络,B轮,100-499人,江女士,招聘者
产品经理,10-15K,南京,3-5年,本科,苏宁云商,互联网,已上市,10000人以上,朱先生,经理
产品专员,10-15K,深圳,1-3年,本科,中国平安普惠,互联网金融,已上市,10000人以上,李先生,高级业务经理
产品专员,5-10K,重庆,1年以内,学历不限,名都丰盛旅游,政府/公共事业,不需要融资,1000-9999人,谢先生,经理
产品专员,10-15K,上海,1-3年,本科,泛微网络,计算机软件,已上市,1000-9999人,黎先生,招聘专员
线上产品经理,15-30K,北京,1-3年,本科,中盛普惠,互联网金融,A轮,500-999人,李女士,招聘者
产品经理,9-18K,南京,3-5年,本科,苏宁云商,互联网,已上市,10000人以上,王先生,产品经理
产品经理,20-25K,广州,5-10年,本科,天创时尚集团,互联网,已上市,1000-9999人,李女士,招聘专员
产品经理,8-16K,南京,3-5年,本科,南京苏宁软件,计算机软件,已上市,10000人以上,王先生,部门经理
产品经理,35-60K,北京,5-10年,本科,中信百信银行,银行,不需要融资,500-999人,周先生,招聘者
产品经理,8-16K,厦门,1-3年,本科,快乐学习教育,在线教育,未融资,1000-9999人,吴女士,招聘者
产品经理,8-13K,济南,经验不限,本科,浪潮集团,计算机软件,已上市,10000人以上,许女士,HR
产品专员,6-10K,深圳,1-3年,大专,跨越速运,物流/仓储,A轮,10000人以上,莫女士,高级招聘专员
产品专员,4-6K,太原,经验不限,学历不限,新恒基,医疗健康,未融资,500-999人,张先生,副经理
产品经理,13-23K,深圳,1-3年,本科,环球易购,电子商务,已上市,1000-9999人,黄先生,技术部客服部项目经理
数据产品经理,15-25K·14薪,南京,3-5年,本科,苏宁云商集团,互联网,已上市,10000人以上,许先生,部门经理
产品专员,8-12K,上海,应届生,大专,上海世基,互联网金融,不需要融资,1000-9999人,郑女士,人力主管
产品经理,15-30K,深圳,3-5年,本科,尊豪网络,互联网,A轮,100-499人,戚女士,招聘者
产品讲师,5-10K,济南,经验不限,本科,新稀宝股份,制药,不需要融资,500-999人,于女士,人资经理
