title , salary ,city,position, working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name 
产品助理,4-7K,深圳,经验不限,本科,泽汇科技,电子商务,未融资,1000-9999人,李女士,招聘者
产品经理,6-11K,上海,1-3年,本科,浪潮云ERP,计算机软件,已上市,1000-9999人,王先生,招聘者
教学产品经理,15-25K,上海,3-5年,本科,掌门1对1,互联网,D轮及以上,10000人以上,邓女士,HR
助理产品经理,10-15K,上海,1-3年,本科,携程旅行网,互联网,已上市,10000人以上,吴女士,HRBP
产品经理,10-20K,北京,3-5年,本科,华图教育,在线教育,已上市,1000-9999人,蔡女士,招聘主管
产品经理,11-20K,深圳,3-5年,本科,和而泰,互联网,已上市,1000-9999人,小女士,招聘经理
高级产品经理,14-25K,合肥,5-10年,本科,科大讯飞,移动互联网,已上市,10000人以上,冯先生,招聘经理
产品助理,2-5K,厦门,经验不限,大专,海尼,电子商务,不需要融资,500-999人,陈女士,招聘专员
产品专员,4-7K,昆明,1年以内,大专,昆明玖层府,广告营销,不需要融资,500-999人,刘先生,主管
产品经理,15-25K,深圳,1-3年,本科,友宝,移动互联网,已上市,1000-9999人,罗女士,招聘主管
产品经理,11-22K,杭州,3-5年,本科,施强教育科技,互联网,不需要融资,1000-9999人,牟女士,HRBP
产品经理,18-25K,北京,3-5年,本科,Boss直聘,人力资源服务,D轮及以上,1000-9999人,徐先生,产品经理
产品经理,15-28K,上海,3-5年,本科,上海创蓝文化传播,移动互联网,A轮,500-999人,王女士,HR
产品经理,10-20K,南京,3-5年,本科,苏宁云商集团,互联网,已上市,10000人以上,赵先生,产品经理
产品经理,20-40K,北京,1-3年,本科,好大夫在线,互联网,D轮及以上,500-999人,宋先生,招聘负责人
产品经理,10-20K,北京,3-5年,本科,北大英华,互联网,B轮,100-499人,陈先生,产品中心副总监
产品总监,20-35K,西安,5-10年,大专,澳鹏网络,电子商务,A轮,500-999人,代女士,招聘主管
产品经理,15-30K,上海,3-5年,本科,美奥医疗,医疗健康,未融资,500-999人,安女士,招聘主管
产品经理,18-36K,北京,3-5年,本科,京东集团,电子商务,已上市,10000人以上,王先生,高级产品经理
产品文案,3-6K,海口,经验不限,大专,红妆美容管理,医疗健康,未融资,500-999人,刘先生,招聘主管
产品经理,6-10K,广州,3-5年,大专,VIKY,其他行业,已上市,500-999人,张先生,总监
产品经理,9-14K,杭州,1-3年,大专,杭州卓讯,培训机构,未融资,500-999人,周女士,人事主管
产品经理,20-35K,北京,5-10年,本科,寓客,地产经纪/中介,未融资,1000-9999人,杨先生,人事助理
产品经理,8-10K,长沙,3-5年,大专,步步高集团,生活服务,已上市,10000人以上,刘先生,招聘主管
政企产品经理,15-30K,北京,3-5年,本科,苏宁易购,电子商务,已上市,10000人以上,石女士,高级产品经理
产品助理,3-6K,合肥,经验不限,大专,中公教育,在线教育,已上市,10000人以上,宗女士,人事专员
产品经理,11-20K,扬州,1-3年,大专,万达信息,计算机软件,已上市,1000-9999人,姚先生,hr
产品总监,40-70K,苏州,5-10年,硕士,智慧芽,互联网,D轮及以上,500-999人,屠先生,VP
产品经理,10-20K,北京,1-3年,本科,健客网,电子商务,B轮,1000-9999人,郝先生,总裁助理/副总裁
产品经理,20-35K,杭州,5-10年,本科,云车金融,互联网,不需要融资,1000-9999人,袁女士,人力资源专员
产品经理,8-12K,南通,1-3年,大专,凯盛家纺,服装/纺织/皮革,不需要融资,500-999人,李先生,人事经理
产品经理,8-15K,石家,3-5年,本科,游民星空,游戏,未融资,100-499人,高女士,人资主管
产品经理,10-15K,杭州,1-3年,本科,美窝,工程施工,A轮,100-499人,黄女士,hrbp
财务产品经理,15-20K,南京,3-5年,本科,Suning,批发/零售,已上市,10000人以上,童先生,产品经理
产品经理,15-30K,上海,1-3年,本科,复星集团总部,互联网,已上市,10000人以上,李女士,HRM
产品助理,4-8K,深圳,应届生,大专,泽汇科技,电子商务,未融资,1000-9999人,吴女士,HRS
产品专员,5-7K,北京,经验不限,学历不限,气味图书馆,生活服务,未融资,100-499人,娄女士,总裁
产品经理,15-30K,广州,3-5年,本科,视睿科技,智能硬件,已上市,1000-9999人,李女士,产品经理
产品经理,15-20K,杭州,经验不限,本科,安恒信息,信息安全,D轮及以上,1000-9999人,叶先生,工控安全事业部副总经理
产品经理,25-35K,武汉,5-10年,本科,海兰信,通信/网络设备,已上市,500-999人,刘先生,人力资源经理
产品经理,10-20K,杭州,3-5年,本科,华云科技,计算机软件,不需要融资,1000-9999人,李女士,招聘者
P2P产品经理,8-13K,常州,经验不限,中专/中技,友信,互联网金融,A轮,10000人以上,陈先生,团队经理
产品经理,10-15K,杭州,1-3年,本科,游侠客旅游网,旅游,A轮,500-999人,田女士,人事专员
产品经理,10-20K,杭州,经验不限,本科,百世集团,物流/仓储,已上市,10000人以上,滕女士,HR
产品经理,10-15K,深圳,3-5年,本科,Baseus,移动互联网,不需要融资,500-999人,郑先生,HR
产品经理,15-25K,杭州,3-5年,本科,大搜车,互联网,D轮及以上,1000-9999人,魏先生,产品总监
产品专员,6-10K,南京,1年以内,大专,车置宝,汽车生产,D轮及以上,1000-9999人,刘先生,运营总监
资深产品经理,20-40K,上海,5-10年,本科,复星集团总部,互联网,已上市,10000人以上,暂无信息,暂无信息
