title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
运维工程师,6k-10k,大连  ,3-5年,大专,思佰益,计算机软件,不需要融资,500-999人,叶女士,HR
系统运维工程师,6k-12k,西安  ,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,曹女士,高级招聘顾问
MC运维,3k-6k,郑州 管城回族区 商城路,经验不限,本科,伊电园,生活服务,C轮,1000-9999人,苏女士,招聘者
运维,2k-4k,廊坊  ,1年以内,高中,河北厚源,银行,暂无信息,100-499人,霍先生,经理
运维工程师,4k-6k,郑州 金水区 未来路,1-3年,大专,聚美国际整形医院,医疗健康,已上市,500-999人,侯女士,招聘者
运维工程师,30k-50k,北京 海淀区 五道口,5-10年,本科,北京千喜鹤,生活服务,未融资,10000人以上,沈女士,人事专员
运维工程师,10k-15k,兰州  ,3-5年,大专,亚联信息,移动互联网,不需要融资,500-999人,苏女士,HRBP
运维工程师,5k-10k,济南 历下区 奥体中心,1年以内,本科,软通动力,计算机软件,已上市,10000人以上,顾女士,招聘顾问
运维工程师,3k-4k,长春  ,1-3年,本科,摩卡软件,计算机软件,不需要融资,500-999人,朱先生,项目经理
运维工程师,10k-15k,北京 朝阳区 酒仙桥,3-5年,本科,车和家,汽车生产,B轮,1000-9999人,崔先生,运维工程师
运维工程师,15k-20k,苏州 虎丘区 科技城,3-5年,本科,安硕信息技术,计算机软件,已上市,1000-9999人,陈女士,招聘专员
IT运维经理,15k-25k,北京 海淀区 北京大学,5-10年,本科,青鸟消防,智能硬件,已上市,1000-9999人,田女士,人力专员
运维工程师,4k-8k,郑州 金水区 农业路,经验不限,本科,明源软件,互联网,已上市,1000-9999人,程女士,HR经理
云计算驻场运维,9k-13k,上海 普陀区 武宁,3-5年,本科,华云中盛,移动互联网,不需要融资,500-999人,朱女士,阿里事业部 HRBP
系统运维工程师,6k-8k,广州 白云区 人和,1年以内,大专,欧派集团,工程施工,已上市,10000人以上,任先生,招聘顾问
运维工程师,8k-12k,北京 大兴区 西红门,3-5年,大专,义利北冰洋,食品/饮料/烟酒,不需要融资,1000-9999人,刘先生,人力资源
【华为】广域网运维,8k-13k,深圳 龙岗区 万科,1-3年,大专,神州信息,计算机软件,已上市,1000-9999人,郑女士,HRBP
运维工程师,5k-8k,东营  ,1-3年,本科,卫宁健康,医疗健康,已上市,1000-9999人,尹先生,山东区域实施服务经理
it运维经理,3k-6k,嘉兴 桐乡市 ,1年以内,大专,壹米滴答,物流/仓储,D轮及以上,10000人以上,崔先生,杭州大区招聘经理
运维工程师,12k-20k,杭州 滨江区 长河,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,付女士,招聘顾问
运维工程师,15k-30k,深圳 南山区 科技园,3-5年,本科,百度,互联网,已上市,10000人以上,熊先生,资深研发工程师
运维,9k-14k,上海 徐汇区 漕河泾,3-5年,本科,大连中盛合,计算机软件,暂无信息,20-99人,梁女士,HR
运维工程师,8k-13k,合肥  ,1-3年,本科,神州信息,计算机软件,已上市,1000-9999人,韦女士,人力资源
